scenarioId,runId,totalNodes,dist,flowId,srcIP,dstIP,txPkts,rxPkts,delay_ms,throughput_mbps,loss_pct
100_unbalanced,2,100,unbalanced,1,10.1.0.13,10.2.0.14,34790,34790,21.3373,5.1349,0.0000
100_unbalanced,2,100,unbalanced,2,10.1.0.86,10.2.0.86,34790,34790,35.9275,5.1336,0.0000
100_unbalanced,2,100,unbalanced,3,10.1.0.18,10.2.0.30,34790,34790,27.6746,5.1344,0.0000
100_unbalanced,2,100,unbalanced,4,10.1.0.102,10.3.0.38,34790,34790,31.7589,5.1340,0.0000
100_unbalanced,2,100,unbalanced,5,10.1.0.38,10.3.0.110,34790,34790,46.3491,5.1327,0.0000
100_unbalanced,2,100,unbalanced,6,10.2.0.14,10.1.0.13,19921,19530,11.2614,2.8831,1.9628
100_unbalanced,2,100,unbalanced,7,10.2.0.22,10.3.0.26,34790,34790,23.4216,5.1348,0.0000
100_unbalanced,2,100,unbalanced,8,10.2.0.38,10.3.0.170,34790,34790,27.5902,5.1344,0.0000
100_unbalanced,2,100,unbalanced,9,10.2.0.70,10.1.0.74,34790,34790,38.0118,5.1334,0.0000
100_unbalanced,2,100,unbalanced,10,10.2.0.97,10.3.0.98,34790,34790,52.6021,5.1321,0.0000
100_unbalanced,2,100,unbalanced,11,10.3.0.46,10.1.0.50,34790,34790,25.8516,5.1345,0.0000
100_unbalanced,2,100,unbalanced,12,10.3.0.214,10.2.0.62,34790,34790,42.1805,5.1331,0.0000
100_unbalanced,2,100,unbalanced,13,10.3.0.121,10.1.0.54,34790,34790,34.1889,5.1338,0.0000
100_unbalanced,2,100,unbalanced,14,10.3.0.253,10.2.0.134,34790,34790,31.7589,5.1340,0.0000
100_unbalanced,2,100,unbalanced,15,10.2.0.146,10.1.0.13,14869,14869,11.2614,5.1347,0.0000
