scenarioId,runId,totalNodes,dist,distribution,delay_ms,throughput_mbps,loss_pct,convergence_s
20_balanced,1,20,balanced,7/7/6,13.8665,4.0587,0.3133,1.0700
20_balanced,2,20,balanced,7/7/6,13.8665,4.0638,0.1873,0.6400
20_balanced,3,20,balanced,7/7/6,13.8665,4.0510,0.5006,1.7100
20_unbalanced,1,20,unbalanced,4/7/9,18.1727,4.0587,0.3133,1.0700
20_unbalanced,2,20,unbalanced,4/7/9,18.1727,4.0638,0.1873,0.6400
20_unbalanced,3,20,unbalanced,4/7/9,18.1727,4.0510,0.5006,1.7100
50_balanced,1,50,balanced,17/17/16,24.6273,4.7500,0.0000,1.0700
50_balanced,2,50,balanced,17/17/16,24.6273,4.7500,0.0000,0.6400
50_balanced,3,50,balanced,17/17/16,24.6273,4.7500,0.0000,1.7100
50_unbalanced,1,50,unbalanced,10/18/22,23.7488,4.5185,0.2188,1.0700
50_unbalanced,2,50,unbalanced,10/18/22,23.7488,4.5185,0.1308,0.6400
50_unbalanced,3,50,unbalanced,10/18/22,23.7488,4.5185,0.3493,1.7100
100_balanced,1,100,balanced,34/34/32,30.3749,4.6012,3.1323,1.0700
100_balanced,2,100,balanced,34/34/32,30.3749,4.6012,3.1323,0.6400
100_balanced,3,100,balanced,34/34/32,30.3749,4.6012,3.1323,1.7100
100_unbalanced,1,100,unbalanced,20/35/45,30.7451,4.4274,0.1343,1.0700
100_unbalanced,2,100,unbalanced,20/35/45,30.7451,4.4298,0.0803,0.6400
100_unbalanced,3,100,unbalanced,20/35/45,30.7451,4.4238,0.2146,1.7100
